2017-11-16 22:50:00;2017-11-17 05:24:00;24.87;6:34
2017-11-15 22:32:00;2017-11-16 05:22:00;29.02;6:50
2017-11-14 22:55:00;2017-11-15 05:24:00;22.62;6:29
2017-11-13 22:56:00;2017-11-14 05:24:00;12.11;6:28
2017-11-12 22:08:00;2017-11-13 07:41:00;23.39;9:33
2017-11-11 23:14:00;2017-11-12 06:35:00;36.28;7:21
2017-11-10 21:22:00;2017-11-11 05:25:00;32.71;8:03
2017-11-09 23:09:00;2017-11-10 05:24:00;31.2;6:15
2017-11-08 23:22:00;2017-11-09 05:23:00;21.05;6:01
2017-11-07 23:23:00;2017-11-08 05:24:00;19.67;6:01
2017-11-06 22:52:00;2017-11-07 05:15:00;26.63;6:23
2017-11-05 21:34:00;2017-11-06 08:52:00;7.23;11:18
2017-11-04 22:28:00;2017-11-05 05:53:00;20.0;7:25
2017-11-03 21:51:00;2017-11-04 07:33:00;13.4;9:42
2017-11-02 22:54:00;2017-11-03 08:12:00;27.06;9:18
2017-11-01 00:10:00;2017-11-02 08:44:00;2.76;8:34
2017-10-31 23:02:00;2017-11-01 06:45:00;19.65;7:43
2017-10-30 21:41:00;2017-10-31 07:11:00;7.72;9:30
2017-10-29 21:36:00;2017-10-30 06:47:00;10.47;10:11
2017-10-28 22:11:00;2017-10-29 08:11:00;17.83;10:00
2017-10-27 23:18:00;2017-10-28 05:24:00;34.97;6:06
2017-10-26 23:24:00;2017-10-27 05:24:00;30.56;6:00
2017-10-25 22:55:00;2017-10-26 05:15:00;25.79;6:20
2017-10-24 23:08:00;2017-10-25 06:35:00;25.73;7:27
2017-10-23 23:27:00;2017-10-24 05:16:00;24.93;5:49
2017-10-22 22:13:00;2017-10-23 09:04:00;15.67;10:51
2017-10-20 23:06:00;2017-10-21 05:19:00;33.51;6:13
2017-10-19 22:32:00;2017-10-20 05:15:00;19.11;6:43
2017-10-18 22:20:00;2017-10-19 05:15:00;23.61;6:55
2017-10-17 23:25:00;2017-10-18 06:30:00;28.24;7:05
2017-10-16 22:43:00;2017-10-17 05:15:00;14.03;6:32
2017-10-15 23:42:00;2017-10-16 07:48:00;5.35;8:06
2017-10-14 23:44:00;2017-10-15 09:10:00;22.97;9:26
2017-10-13 22:25:00;2017-10-14 05:13:00;27.94;6:48
2017-10-12 22:55:00;2017-10-13 05:20:00;17.4;6:25
2017-10-11 22:44:00;2017-10-12 05:12:00;33.76;6:28
2017-10-09 22:03:00;2017-10-10 05:15:00;20.14;7:12
2017-10-08 21:30:00;2017-10-09 07:14:00;19.18;9:44
2017-10-07 22:13:00;2017-10-08 08:16:00;33.17;10:03
2017-10-06 22:06:00;2017-10-07 06:34:00;27.56;8:28
2017-10-05 22:36:00;2017-10-06 05:19:00;20.1;6:43
2017-10-04 21:59:00;2017-10-05 06:15:00;21.57;8:16
2017-10-03 23:22:00;2017-10-04 06:35:00;12.7;7:13
2017-10-02 21:51:00;2017-10-03 05:15:00;16.89;7:24
2017-10-01 23:10:00;2017-10-02 08:12:00;26.75;9:02
2017-09-30 23:36:00;2017-10-01 06:48:00;15.74;7:12
2017-09-29 22:28:00;2017-09-30 06:34:00;28.6;8:06
2017-09-28 22:30:00;2017-09-29 05:15:00;13.58;6:45
2017-09-27 23:32:00;2017-09-28 05:13:00;14.96;5:41
2017-09-26 22:22:00;2017-09-27 06:43:00;16.57;8:21
2017-09-25 22:29:00;2017-09-26 05:15:00;25.12;6:46
2017-09-24 22:57:00;2017-09-25 06:14:00;24.49;7:17
2017-09-23 22:57:00;2017-09-24 06:42:00;22.37;7:45
2017-09-22 21:07:00;2017-09-23 05:15:00;21.72;8:08
2017-09-21 22:44:00;2017-09-22 05:15:00;30.18;6:31
2017-09-20 22:40:00;2017-09-21 05:15:00;17.72;6:35
2017-09-19 22:31:00;2017-09-20 06:30:00;32.57;7:59
2017-09-18 22:58:00;2017-09-19 06:30:00;16.37;7:32
2017-09-17 22:46:00;2017-09-18 07:56:00;22.55;9:10
2017-09-16 23:36:00;2017-09-17 07:47:00;23.42;8:11
2017-09-15 21:30:00;2017-09-16 05:15:00;24.73;7:45
2017-09-14 22:28:00;2017-09-15 05:15:00;38.33;6:47
2017-09-13 23:04:00;2017-09-14 05:15:00;16.17;6:11
2017-09-12 23:36:00;2017-09-13 06:30:00;13.77;6:54
2017-09-11 21:38:00;2017-09-12 05:06:00;27.46;7:28
2017-09-10 22:59:00;2017-09-11 08:08:00;18.76;9:09
2017-09-09 19:58:00;2017-09-10 07:12:00;20.33;11:14
2017-09-08 23:31:00;2017-09-09 05:14:00;34.4;5:43
2017-09-07 22:35:00;2017-09-08 05:17:00;16.92;6:42
2017-09-06 21:25:00;2017-09-07 05:39:00;31.17;8:14
2017-09-05 22:22:00;2017-09-06 06:39:00;27.57;8:17
2017-09-04 18:07:00;2017-09-05 06:17:00;15.48;12:10
2017-09-03 23:02:00;2017-09-04 06:08:00;17.37;7:06
2017-09-02 23:22:00;2017-09-03 07:06:00;24.78;7:44
2017-09-01 01:20:00;2017-09-02 07:32:00;1.77;6:12
2017-08-31 23:24:00;2017-09-01 06:15:00;8.27;6:51
2017-08-30 22:32:00;2017-08-31 07:37:00;19.82;9:05
2017-08-29 23:00:00;2017-08-30 07:25:00;20.0;8:25
2017-08-28 23:16:00;2017-08-29 08:09:00;27.95;8:53
2017-08-27 23:24:00;2017-08-28 07:21:00;24.11;7:57
2017-08-26 22:55:00;2017-08-27 07:43:00;25.95;8:48
2017-08-25 23:22:00;2017-08-26 06:40:00;20.55;7:18
2017-08-24 23:48:00;2017-08-25 07:31:00;12.53;7:43
2017-08-23 23:28:00;2017-08-24 06:40:00;29.63;7:12
2017-08-22 23:49:00;2017-08-23 06:56:00;31.38;7:07
2017-08-21 00:06:00;2017-08-22 07:11:00;4.45;7:05
2017-08-20 22:44:00;2017-08-21 09:19:00;9.45;10:35
2017-08-19 23:24:00;2017-08-20 09:49:00;17.6;10:25
2017-08-18 22:51:00;2017-08-19 08:01:00;19.45;9:10
